 (0.026+0.000j)  (0.007+0.003j)  (0.019-0.016j)  (-0.010-0.019j)  (0.017-0.015j)  (-0.026+0.021j)  (0.001+0.033j)  (0.019+0.017j)  (-0.005+0.003j)  (0.003+0.023j)  (-0.001+0.013j)  (0.018+0.025j)  (-0.004+0.041j)  (-0.003-0.007j)  (-0.048-0.006j)  (-0.031+0.022j)  (0.036+0.020j)  (0.018+0.003j)  (0.032-0.015j)  (0.005-0.024j)  (0.013+0.000j)  (-0.046+0.014j)  (-0.015+0.043j)  (0.006+0.029j)  (0.026-0.027j)  (0.001-0.015j)  (-0.031-0.007j)  (0.009+0.028j)  (-0.009+0.015j)  (0.025-0.007j)  (-0.005-0.010j)  (-0.010-0.007j)
 (0.007-0.003j)  (0.002+0.000j)  (0.003-0.006j)  (-0.005-0.004j)  (0.003-0.006j)  (-0.004+0.009j)  (0.004+0.009j)  (0.007+0.002j)  (-0.001+0.001j)  (0.004+0.006j)  (0.001+0.004j)  (0.008+0.005j)  (0.004+0.011j)  (-0.002-0.002j)  (-0.013+0.004j)  (-0.006+0.010j)  (0.012+0.001j)  (0.005-0.001j)  (0.007-0.007j)  (-0.002-0.007j)  (0.003-0.002j)  (-0.011+0.009j)  (0.001+0.013j)  (0.005+0.007j)  (0.004-0.010j)  (-0.001-0.004j)  (-0.009+0.002j)  (0.006+0.006j)  (-0.001+0.005j)  (0.006-0.005j)  (-0.003-0.002j)  (-0.003-0.001j)
 (0.019+0.016j)  (0.003+0.006j)  (0.024+0.000j)  (0.004-0.020j)  (0.021-0.001j)  (-0.032-0.000j)  (-0.018+0.025j)  (0.004+0.024j)  (-0.005-0.001j)  (-0.011+0.019j)  (-0.009+0.009j)  (-0.002+0.029j)  (-0.027+0.027j)  (0.002-0.007j)  (-0.031-0.033j)  (-0.036-0.002j)  (0.014+0.036j)  (0.011+0.013j)  (0.032+0.008j)  (0.018-0.015j)  (0.009+0.007j)  (-0.042-0.017j)  (-0.037+0.022j)  (-0.013+0.025j)  (0.035-0.005j)  (0.009-0.010j)  (-0.018-0.023j)  (-0.010+0.026j)  (-0.015+0.005j)  (0.023+0.010j)  (0.002-0.011j)  (-0.003-0.011j)
 (-0.010+0.019j)  (-0.005+0.004j)  (0.004+0.020j)  (0.017+0.000j)  (0.004+0.018j)  (-0.005-0.026j)  (-0.024-0.011j)  (-0.019+0.008j)  (-0.000-0.005j)  (-0.018-0.006j)  (-0.009-0.006j)  (-0.025+0.003j)  (-0.028-0.018j)  (0.006+0.001j)  (0.022-0.032j)  (-0.004-0.031j)  (-0.028+0.018j)  (-0.009+0.012j)  (-0.001+0.028j)  (0.015+0.013j)  (-0.005+0.009j)  (0.007-0.038j)  (-0.025-0.027j)  (-0.023-0.007j)  (0.010+0.029j)  (0.010+0.006j)  (0.017-0.019j)  (-0.024-0.004j)  (-0.007-0.012j)  (-0.004+0.021j)  (0.009+0.000j)  (0.009-0.004j)
 (0.017+0.015j)  (0.003+0.006j)  (0.021+0.001j)  (0.004-0.018j)  (0.019+0.000j)  (-0.029-0.001j)  (-0.017+0.022j)  (0.003+0.022j)  (-0.005-0.001j)  (-0.011+0.017j)  (-0.008+0.008j)  (-0.003+0.026j)  (-0.025+0.024j)  (0.002-0.006j)  (-0.027-0.031j)  (-0.033-0.003j)  (0.012+0.034j)  (0.010+0.012j)  (0.029+0.008j)  (0.017-0.013j)  (0.008+0.007j)  (-0.037-0.017j)  (-0.034+0.019j)  (-0.013+0.022j)  (0.032-0.003j)  (0.009-0.009j)  (-0.016-0.022j)  (-0.010+0.024j)  (-0.014+0.004j)  (0.020+0.009j)  (0.002-0.010j)  (-0.002-0.010j)
 (-0.026-0.021j)  (-0.004-0.009j)  (-0.032+0.000j)  (-0.005+0.026j)  (-0.029+0.001j)  (0.042+0.000j)  (0.024-0.033j)  (-0.006-0.032j)  (0.007+0.001j)  (0.015-0.025j)  (0.011-0.012j)  (0.002-0.039j)  (0.036-0.037j)  (-0.003+0.009j)  (0.042+0.044j)  (0.049+0.003j)  (-0.019-0.049j)  (-0.015-0.018j)  (-0.043-0.011j)  (-0.024+0.020j)  (-0.012-0.010j)  (0.056+0.023j)  (0.049-0.030j)  (0.017-0.033j)  (-0.048+0.006j)  (-0.013+0.014j)  (0.025+0.031j)  (0.013-0.035j)  (0.021-0.007j)  (-0.030-0.013j)  (-0.003+0.014j)  (0.004+0.015j)
 (0.001-0.033j)  (0.004-0.009j)  (-0.018-0.025j)  (-0.024+0.011j)  (-0.017-0.022j)  (0.024+0.033j)  (0.040+0.000j)  (0.021-0.023j)  (0.003+0.006j)  (0.029-0.002j)  (0.016+0.002j)  (0.032-0.021j)  (0.050+0.007j)  (-0.009+0.003j)  (-0.011+0.058j)  (0.026+0.040j)  (0.027-0.043j)  (0.005-0.022j)  (-0.016-0.040j)  (-0.029-0.008j)  (0.001-0.015j)  (0.014+0.057j)  (0.052+0.021j)  (0.036-0.006j)  (-0.032-0.034j)  (-0.018-0.002j)  (-0.010+0.037j)  (0.035-0.010j)  (0.017+0.012j)  (-0.007-0.031j)  (-0.013+0.006j)  (-0.009+0.011j)
 (0.019-0.017j)  (0.007-0.002j)  (0.004-0.024j)  (-0.019-0.008j)  (0.003-0.022j)  (-0.006+0.032j)  (0.021+0.023j)  (0.024+0.000j)  (-0.002+0.005j)  (0.017+0.015j)  (0.007+0.010j)  (0.029+0.007j)  (0.022+0.032j)  (-0.007-0.004j)  (-0.039+0.025j)  (-0.009+0.036j)  (0.039-0.008j)  (0.015-0.009j)  (0.014-0.030j)  (-0.011-0.021j)  (0.009-0.008j)  (-0.025+0.039j)  (0.016+0.041j)  (0.022+0.018j)  (0.002-0.036j)  (-0.008-0.011j)  (-0.027+0.014j)  (0.024+0.015j)  (0.002+0.016j)  (0.014-0.021j)  (-0.010-0.004j)  (-0.012+0.001j)
 (-0.005-0.003j)  (-0.001-0.001j)  (-0.005+0.001j)  (-0.000+0.005j)  (-0.005+0.001j)  (0.007-0.001j)  (0.003-0.006j)  (-0.002-0.005j)  (0.001+0.000j)  (0.002-0.005j)  (0.002-0.002j)  (-0.001-0.007j)  (0.005-0.007j)  (-0.000+0.002j)  (0.008+0.006j)  (0.008-0.001j)  (-0.005-0.008j)  (-0.003-0.003j)  (-0.007-0.001j)  (-0.004+0.004j)  (-0.002-0.001j)  (0.010+0.002j)  (0.007-0.006j)  (0.002-0.006j)  (-0.008+0.002j)  (-0.002+0.003j)  (0.005+0.005j)  (0.001-0.006j)  (0.003-0.002j)  (-0.005-0.001j)  (-0.000+0.003j)  (0.001+0.002j)
 (0.003-0.023j)  (0.004-0.006j)  (-0.011-0.019j)  (-0.018+0.006j)  (-0.011-0.017j)  (0.015+0.025j)  (0.029+0.002j)  (0.017-0.015j)  (0.002+0.005j)  (0.021+0.000j)  (0.011+0.003j)  (0.024-0.013j)  (0.035+0.008j)  (-0.007+0.002j)  (-0.011+0.041j)  (0.016+0.030j)  (0.022-0.029j)  (0.005-0.015j)  (-0.009-0.029j)  (-0.021-0.007j)  (0.002-0.011j)  (0.007+0.042j)  (0.036+0.018j)  (0.026-0.002j)  (-0.021-0.026j)  (-0.013-0.003j)  (-0.010+0.026j)  (0.026-0.005j)  (0.012+0.010j)  (-0.003-0.023j)  (-0.009+0.003j)  (-0.007+0.008j)
 (-0.001-0.013j)  (0.001-0.004j)  (-0.009-0.009j)  (-0.009+0.006j)  (-0.008-0.008j)  (0.011+0.012j)  (0.016-0.002j)  (0.007-0.010j)  (0.002+0.002j)  (0.011-0.003j)  (0.006+0.000j)  (0.011-0.010j)  (0.020+0.000j)  (-0.003+0.002j)  (-0.001+0.023j)  (0.012+0.014j)  (0.008-0.018j)  (0.001-0.009j)  (-0.009-0.015j)  (-0.012-0.001j)  (-0.001-0.006j)  (0.009+0.021j)  (0.021+0.005j)  (0.014-0.004j)  (-0.015-0.011j)  (-0.007+0.000j)  (-0.002+0.015j)  (0.013-0.006j)  (0.007+0.004j)  (-0.005-0.012j)  (-0.005+0.003j)  (-0.003+0.005j)
