 (0.090+0.000j)  (-0.022+0.025j)  (-0.022-0.023j)  (-0.031+0.054j)  (-0.002-0.061j)  (0.154+0.024j)  (0.083-0.041j)  (0.053-0.035j)  (-0.012+0.035j)  (-0.033-0.067j)  (0.015-0.028j)  (-0.086+0.069j)  (0.073-0.011j)  (-0.038+0.046j)  (-0.015-0.011j)  (0.014-0.071j)
 (-0.022-0.025j)  (0.013+0.000j)  (-0.001+0.012j)  (0.023-0.005j)  (-0.017+0.016j)  (-0.031-0.050j)  (-0.032-0.013j)  (-0.023-0.006j)  (0.013-0.005j)  (-0.011+0.026j)  (-0.012+0.003j)  (0.041+0.007j)  (-0.021-0.018j)  (0.023-0.001j)  (0.000+0.007j)  (-0.024+0.014j)
 (-0.022+0.023j)  (-0.001-0.012j)  (0.011+0.000j)  (-0.006-0.021j)  (0.016+0.015j)  (-0.044+0.033j)  (-0.010+0.031j)  (-0.004+0.022j)  (-0.006-0.012j)  (0.025+0.008j)  (0.004+0.011j)  (0.004-0.039j)  (-0.015+0.021j)  (-0.002-0.021j)  (0.006-0.001j)  (0.015+0.021j)
 (-0.031-0.054j)  (0.023+0.005j)  (-0.006+0.021j)  (0.043+0.000j)  (-0.037+0.022j)  (-0.038-0.102j)  (-0.053-0.036j)  (-0.040-0.020j)  (0.025-0.005j)  (-0.029+0.043j)  (-0.022+0.001j)  (0.071+0.028j)  (-0.032-0.041j)  (0.041+0.007j)  (-0.002+0.013j)  (-0.048+0.016j)
 (-0.002+0.061j)  (-0.017-0.016j)  (0.016-0.015j)  (-0.037-0.022j)  (0.042+0.000j)  (-0.019+0.105j)  (0.026+0.058j)  (0.024+0.037j)  (-0.024-0.009j)  (0.046-0.021j)  (0.019+0.011j)  (-0.046-0.060j)  (0.006+0.051j)  (-0.031-0.027j)  (0.008-0.010j)  (0.049+0.011j)
 (0.154-0.024j)  (-0.031+0.050j)  (-0.044-0.033j)  (-0.038+0.102j)  (-0.019-0.105j)  (0.271+0.000j)  (0.132-0.092j)  (0.081-0.075j)  (-0.011+0.064j)  (-0.075-0.106j)  (0.018-0.053j)  (-0.129+0.142j)  (0.123-0.039j)  (-0.052+0.090j)  (-0.028-0.016j)  (0.004-0.127j)
 (0.083+0.041j)  (-0.032+0.013j)  (-0.010-0.031j)  (-0.053+0.036j)  (0.026-0.058j)  (0.132+0.092j)  (0.096+0.000j)  (0.065-0.009j)  (-0.027+0.027j)  (-0.000-0.077j)  (0.027-0.019j)  (-0.111+0.025j)  (0.073+0.023j)  (-0.056+0.026j)  (-0.008-0.017j)  (0.045-0.060j)
 (0.053+0.035j)  (-0.023+0.006j)  (-0.004-0.022j)  (-0.040+0.020j)  (0.024-0.037j)  (0.081+0.075j)  (0.065+0.009j)  (0.045+0.000j)  (-0.021+0.016j)  (0.007-0.052j)  (0.020-0.011j)  (-0.078+0.007j)  (0.048+0.022j)  (-0.041+0.012j)  (-0.004-0.013j)  (0.036-0.037j)
 (-0.012-0.035j)  (0.013+0.005j)  (-0.006+0.012j)  (0.025+0.005j)  (-0.024+0.009j)  (-0.011-0.064j)  (-0.027-0.027j)  (-0.021-0.016j)  (0.015+0.000j)  (-0.022+0.022j)  (-0.013-0.002j)  (0.039+0.024j)  (-0.014-0.027j)  (0.023+0.009j)  (-0.003+0.007j)  (-0.030+0.004j)
 (-0.033+0.067j)  (-0.011-0.026j)  (0.025-0.008j)  (-0.029-0.043j)  (0.046+0.021j)  (-0.075+0.106j)  (-0.000+0.077j)  (0.007+0.052j)  (-0.022-0.022j)  (0.062+0.000j)  (0.016+0.022j)  (-0.020-0.089j)  (-0.019+0.059j)  (-0.021-0.045j)  (0.014-0.007j)  (0.048+0.037j)
 (0.015+0.028j)  (-0.012-0.003j)  (0.004-0.011j)  (-0.022-0.001j)  (0.019-0.011j)  (0.018+0.053j)  (0.027+0.019j)  (0.020+0.011j)  (-0.013+0.002j)  (0.016-0.022j)  (0.012+0.000j)  (-0.036-0.016j)  (0.016+0.021j)  (-0.021-0.004j)  (0.001-0.007j)  (0.025-0.008j)
