CMDLINE python circuit.py
MEM 1.929688 1564740986.8414
MEM 38.945312 1564740986.9417
MEM 50.730469 1564740987.0420
MEM 61.914062 1564740987.1424
MEM 65.136719 1564740987.2426
MEM 70.820312 1564740987.3430
MEM 81.070312 1564740987.4433
MEM 95.093750 1564740987.5436
MEM 100.292969 1564740987.6439
MEM 111.195312 1564740987.7442
MEM 118.937500 1564740987.8445
MEM 118.937500 1564740987.9449
MEM 118.937500 1564740988.0452
MEM 118.937500 1564740988.1456
MEM 121.585938 1564740988.2459
MEM 128.792969 1564740988.3462
MEM 141.753906 1564740988.4466
MEM 161.445312 1564740988.5470
MEM 161.085938 1564740988.6473
